Home_Team,Away_Team,1D_gain_H,1D_gain_A,1D_allowed_H,1D_allowed_A,Yards_gain_H,Yards_gain_A,Yards_allowed_H,Yards_allowed_A,Winner,Line,,Concat1,Concat2,Line
New York Giants,San Francisco 49ers,13,29,29,13,231,420,420,231,Away,3,,New York GiantsSan Francisco 49ers,Kansas City ChiefsAtlanta Falcons,-11
New England Patriots,Las Vegas Raiders,25,22,22,25,406,375,375,406,Home,-6.5,,New England PatriotsLas Vegas Raiders,New York JetsCleveland Browns,6.5
Minnesota Vikings,Tennessee Titans,22,23,23,22,464,444,444,464,Away,2.5,,Minnesota VikingsTennessee Titans,Pittsburgh SteelersIndianapolis Colts,1
Cleveland Browns,Washington Football Team,19,19,19,19,300,309,309,300,Home,-7,,Cleveland BrownsWashington Football Team,Washington Football TeamCarolina Panthers,1
Los Angeles Chargers,Carolina Panthers,26,14,14,26,436,302,302,436,Away,-6.5,,Los Angeles ChargersCarolina Panthers,Las Vegas RaidersMiami Dolphins,2.5
Indianapolis Colts,New York Jets,21,15,15,21,353,260,260,353,Home,-11.5,,Indianapolis ColtsNew York Jets,Arizona CardinalsSan Francisco 49ers,-6
Seattle Seahawks,Dallas Cowboys,23,27,27,23,412,522,522,412,Home,-5,,Seattle SeahawksDallas Cowboys,Detroit LionsTampa Bay Buccaneers,12
Denver Broncos,Tampa Bay Buccaneers,13,17,17,13,226,353,353,226,Away,6,,Denver BroncosTampa Bay Buccaneers,New Orleans SaintsMinnesota Vikings,-6.5
Arizona Cardinals,Detroit Lions,28,22,22,28,377,322,322,377,Away,-5.5,,Arizona CardinalsDetroit Lions,Cincinnati BengalsPittsburgh Steelers,14.5
New Orleans Saints,Green Bay Packers,21,24,24,21,397,369,369,397,Away,-3,,New Orleans SaintsGreen Bay Packers,New York GiantsCleveland Browns,6.5
Baltimore Ravens,Kansas City Chiefs,16,29,29,16,228,517,517,228,Away,-3,,Baltimore RavensKansas City Chiefs,New Orleans SaintsKansas City Chiefs,2.5
New York Jets,Denver Broncos,18,21,21,18,321,359,359,321,Away,-1.5,,New York JetsDenver Broncos,Arizona CardinalsPhiladelphia Eagles,-6
Chicago Bears,Indianapolis Colts,16,18,18,16,269,289,289,269,Away,3,,Chicago BearsIndianapolis Colts,Los Angeles RamsNew York Jets,-17
Carolina Panthers,Arizona Cardinals,30,21,21,30,444,262,262,444,Home,3,,Carolina PanthersArizona Cardinals,Atlanta FalconsTampa Bay Buccaneers,6
Washington Football Team,Baltimore Ravens,24,18,18,24,343,350,350,343,Away,14,,Washington Football TeamBaltimore Ravens,Baltimore RavensJacksonville Jaguars,-12.5
Tampa Bay Buccaneers,Los Angeles Chargers,28,15,15,28,484,324,324,484,Home,-7,,Tampa Bay BuccaneersLos Angeles Chargers,Dallas CowboysSan Francisco 49ers,4
Miami Dolphins,Seattle Seahawks,25,26,26,25,415,441,441,415,Away,5.5,,Miami DolphinsSeattle Seahawks,Indianapolis ColtsHouston Texans,-7.5
Houston Texans,Minnesota Vikings,20,24,24,20,386,410,410,386,Away,-3.5,,Houston TexansMinnesota Vikings,Miami DolphinsNew England Patriots,1
Detroit Lions,New Orleans Saints,18,29,29,18,281,392,392,281,Away,3,,Detroit LionsNew Orleans Saints,Minnesota VikingsChicago Bears,-3
Dallas Cowboys,Cleveland Browns,35,33,33,35,566,508,508,566,Away,-3.5,,Dallas CowboysCleveland Browns,Tennessee TitansDetroit Lions,-8.5
Cincinnati Bengals,Jacksonville Jaguars,28,25,25,28,505,429,429,505,Home,-2.5,,Cincinnati BengalsJacksonville Jaguars,Washington Football TeamSeattle Seahawks,6
Los Angeles Rams,New York Giants,15,19,19,15,240,295,295,240,Home,-13,,Los Angeles RamsNew York Giants,Green Bay PackersCarolina Panthers,-9
Las Vegas Raiders,Buffalo Bills,24,21,21,24,383,337,337,383,Away,3,,Las Vegas RaidersBuffalo Bills,Denver BroncosBuffalo Bills,6
San Francisco 49ers,Philadelphia Eagles,25,18,18,25,417,267,267,417,Away,-7.5,,San Francisco 49ersPhiladelphia Eagles,Las Vegas RaidersLos Angeles Chargers,-3.5
Kansas City Chiefs,New England Patriots,19,21,21,19,323,357,357,323,Home,-7,,Kansas City ChiefsNew England Patriots,Cleveland BrownsBaltimore Ravens,3
Green Bay Packers,Atlanta Falcons,22,24,24,22,403,327,327,403,Home,-7,,Green Bay PackersAtlanta Falcons,Buffalo BillsPittsburgh Steelers,-2
Chicago Bears,Tampa Bay Buccaneers,18,18,18,18,243,339,339,243,Home,3.5,,Chicago BearsTampa Bay Buccaneers,Los Angeles ChargersAtlanta Falcons,-1
Atlanta Falcons,Carolina Panthers,21,24,24,21,373,437,437,373,Away,-2.5,,Atlanta FalconsCarolina Panthers,Philadelphia EaglesNew Orleans Saints,7.5
Washington Football Team,Los Angeles Rams,10,20,20,10,108,429,429,108,Away,7,,Washington Football TeamLos Angeles Rams,San Francisco 49ersWashington Football Team,-3
Baltimore Ravens,Cincinnati Bengals,17,12,12,17,332,205,205,332,Home,-11,,Baltimore RavensCincinnati Bengals,Las Vegas RaidersIndianapolis Colts,2.5
Pittsburgh Steelers,Philadelphia Eagles,25,20,20,25,367,336,336,367,Home,-7,,Pittsburgh SteelersPhiladelphia Eagles,Seattle SeahawksNew York Jets,-16.5
New York Jets,Arizona Cardinals,21,28,28,21,285,496,496,285,Away,7,,New York JetsArizona Cardinals,Carolina PanthersDenver Broncos,-4
Kansas City Chiefs,Las Vegas Raiders,21,22,22,21,413,490,490,413,Away,-10.5,,Kansas City ChiefsLas Vegas Raiders,Chicago BearsHouston Texans,1
Houston Texans,Jacksonville Jaguars,24,22,22,24,486,364,364,486,Home,-5.5,,Houston TexansJacksonville Jaguars,Cincinnati BengalsDallas Cowboys,3
San Francisco 49ers,Miami Dolphins,19,22,22,19,259,436,436,259,Away,-7.5,,San Francisco 49ersMiami Dolphins,Detroit LionsGreen Bay Packers,9
Cleveland Browns,Indianapolis Colts,22,15,15,22,385,308,308,385,Home,-1,,Cleveland BrownsIndianapolis Colts,Jacksonville JaguarsTennessee Titans,7.5
Dallas Cowboys,New York Giants,28,20,20,28,402,300,300,402,Home,-8,,Dallas CowboysNew York Giants,Miami DolphinsKansas City Chiefs,7
Seattle Seahawks,Minnesota Vikings,18,31,31,18,314,449,449,314,Home,-6.5,,Seattle SeahawksMinnesota Vikings,New York GiantsArizona Cardinals,3
New Orleans Saints,Los Angeles Chargers,23,19,19,23,408,350,350,408,Home,-7,,New Orleans SaintsLos Angeles Chargers,Tampa Bay BuccaneersMinnesota Vikings,-7
Tennessee Titans,Buffalo Bills,25,23,23,25,334,370,370,334,Home,3.5,,Tennessee TitansBuffalo Bills,Los Angeles RamsNew England Patriots,-5
Jacksonville Jaguars,Detroit Lions,16,25,25,16,275,403,403,275,Away,3,,Jacksonville JaguarsDetroit Lions,Baltimore RavensDallas Cowboys,-8.5
Indianapolis Colts,Cincinnati Bengals,23,22,22,23,430,398,398,430,Home,-7.5,,Indianapolis ColtsCincinnati Bengals,San Francisco 49ersBuffalo Bills,-1.5
Carolina Panthers,Chicago Bears,23,22,22,23,303,261,261,303,Away,-1.5,,Carolina PanthersChicago Bears,Pittsburgh SteelersWashington Football Team,-6
Pittsburgh Steelers,Cleveland Browns,18,12,12,18,277,220,220,277,Home,-5.5,,Pittsburgh SteelersCleveland Browns,Kansas City ChiefsDenver Broncos,-13
Philadelphia Eagles,Baltimore Ravens,19,17,17,19,364,355,355,364,Away,10,,Philadelphia EaglesBaltimore Ravens,Green Bay PackersPhiladelphia Eagles,-8.5
Tennessee Titans,Houston Texans,31,25,25,31,607,412,412,607,Home,-3.5,,Tennessee TitansHouston Texans,Los Angeles ChargersNew England Patriots,-2
New York Giants,Washington Football Team,16,24,24,16,240,337,337,240,Home,-2.5,,New York GiantsWashington Football Team,Arizona CardinalsLos Angeles Rams,2.5
New England Patriots,Denver Broncos,14,15,15,14,288,299,299,288,Away,-8,,New England PatriotsDenver Broncos,Seattle SeahawksNew York Giants,-11
Minnesota Vikings,Atlanta Falcons,19,24,24,19,365,462,462,365,Away,-4,,Minnesota VikingsAtlanta Falcons,Atlanta FalconsNew Orleans Saints,2.5
Miami Dolphins,New York Jets,18,13,13,18,302,263,263,302,Home,-9,,Miami DolphinsNew York Jets,Chicago BearsDetroit Lions,-3
Tampa Bay Buccaneers,Green Bay Packers,21,13,13,21,324,201,201,324,Home,1,,Tampa Bay BuccaneersGreen Bay Packers,Houston TexansIndianapolis Colts,3.5
San Francisco 49ers,Los Angeles Rams,24,17,17,24,390,311,311,390,Home,2.5,,San Francisco 49ersLos Angeles Rams,Miami DolphinsCincinnati Bengals,-10
Buffalo Bills,Kansas City Chiefs,20,27,27,20,206,466,466,206,Away,5,,Buffalo BillsKansas City Chiefs,Minnesota VikingsJacksonville Jaguars,-10
Dallas Cowboys,Arizona Cardinals,27,22,22,27,344,438,438,344,Away,1,,Dallas CowboysArizona Cardinals,New York JetsLas Vegas Raiders,7.5
Philadelphia Eagles,New York Giants,27,17,17,27,442,325,325,442,Home,-4.5,,Philadelphia EaglesNew York Giants,Tennessee TitansCleveland Browns,-3.5
Cincinnati Bengals,Cleveland Browns,31,23,23,31,468,398,398,468,Away,3,,Cincinnati BengalsCleveland Browns,Pittsburgh SteelersBaltimore Ravens,-5
Atlanta Falcons,Detroit Lions,26,21,21,26,388,386,386,388,Away,-2,,Atlanta FalconsDetroit Lions,Philadelphia EaglesSeattle Seahawks,6.5
Washington Football Team,Dallas Cowboys,21,12,12,21,397,142,142,397,Home,-1,,Washington Football TeamDallas Cowboys,Green Bay PackersChicago Bears,-9.5
Tennessee Titans,Pittsburgh Steelers,15,23,23,15,292,362,362,292,Away,-1,,Tennessee TitansPittsburgh Steelers,Tampa Bay BuccaneersKansas City Chiefs,3.5
New York Jets,Buffalo Bills,17,26,26,17,191,422,422,191,Away,10,,New York JetsBuffalo Bills,Denver BroncosNew Orleans Saints,14.5
New Orleans Saints,Carolina Panthers,26,18,18,26,415,283,283,415,Home,-6.5,,New Orleans SaintsCarolina Panthers,Los Angeles RamsSan Francisco 49ers,-6.5
Houston Texans,Green Bay Packers,20,22,22,20,365,379,379,365,Away,3,,Houston TexansGreen Bay Packers,Atlanta FalconsLas Vegas Raiders,3
Las Vegas Raiders,Tampa Bay Buccaneers,19,29,29,19,347,454,454,347,Away,3.5,,Las Vegas RaidersTampa Bay Buccaneers,Buffalo BillsLos Angeles Chargers,-4.5
Los Angeles Chargers,Jacksonville Jaguars,29,15,15,29,484,294,294,484,Home,-7.5,,Los Angeles ChargersJacksonville Jaguars,Cincinnati BengalsNew York Giants,6
New England Patriots,San Francisco 49ers,17,26,26,17,241,467,467,241,Away,-3,,New England PatriotsSan Francisco 49ers,Indianapolis ColtsTennessee Titans,-3
Denver Broncos,Kansas City Chiefs,24,17,17,24,411,286,286,411,Away,7,,Denver BroncosKansas City Chiefs,Jacksonville JaguarsCleveland Browns,7
Arizona Cardinals,Seattle Seahawks,31,33,33,31,519,572,572,519,Home,3.5,,Arizona CardinalsSeattle Seahawks,Minnesota VikingsCarolina Panthers,-3
Los Angeles Rams,Chicago Bears,24,14,14,24,371,279,279,371,Home,-6,,Los Angeles RamsChicago Bears,New England PatriotsArizona Cardinals,2
Carolina Panthers,Atlanta Falcons,18,28,28,18,304,401,401,304,Away,-2,,Carolina PanthersAtlanta Falcons,New York JetsMiami Dolphins,7
Buffalo Bills,New England Patriots,22,20,20,22,339,349,349,339,Home,-4.5,,Buffalo BillsNew England Patriots,Dallas CowboysWashington Football Team,-3
Baltimore Ravens,Pittsburgh Steelers,25,19,19,25,457,221,221,457,Away,-4,,Baltimore RavensPittsburgh Steelers,Detroit LionsHouston Texans,3
Miami Dolphins,Los Angeles Rams,8,31,31,8,145,471,471,145,Home,3.5,,Miami DolphinsLos Angeles Rams,Tampa Bay BuccaneersLos Angeles Rams,-4.5
Kansas City Chiefs,New York Jets,25,13,13,25,496,221,221,496,Home,-19.5,,Kansas City ChiefsNew York Jets,Las Vegas RaidersKansas City Chiefs,7.5
Green Bay Packers,Minnesota Vikings,24,20,20,24,400,324,324,400,Away,-6.5,,Green Bay PackersMinnesota Vikings,Indianapolis ColtsGreen Bay Packers,-1.5
Detroit Lions,Indianapolis Colts,20,26,26,20,326,366,366,326,Away,3,,Detroit LionsIndianapolis Colts,Minnesota VikingsDallas Cowboys,-7
Cleveland Browns,Las Vegas Raiders,14,24,24,14,223,309,309,223,Away,-1.5,,Cleveland BrownsLas Vegas Raiders,Denver BroncosMiami Dolphins,3.5
Cincinnati Bengals,Tennessee Titans,27,27,27,27,367,441,441,367,Home,7,,Cincinnati BengalsTennessee Titans,Los Angeles ChargersNew York Jets,-9.5
